Classification,AllocationType,Description,ExpenseTypeCode,FormID,HasAttendees,HasExceptions,HasImage,HasVAT,ID,ExpenseTypeName,IsBillable,IsImageRequired,IsPersonal,IsPersonalCardCharge,LocationID,LocationName,PaymentTypeID,PaymentTypeName,PostedAmount,ReceiptReceived,ReportID,ReportOwnerID,SpendCategoryCode,SpendCategoryName,TaxReceiptType,TransactionAmount,TransactionCurrencyCode,TransactionDate,Vendor,ExchangeRate,ApprovedAmount
HasComments,N,abc,LODNG,gWnhNrzltdBmnxR0Gsi3WF7hQXV0BZ7FeWg,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt0apdds5u3xIcPlIABkxI1oXOqcg,Hotel,FALSE,FALSE,FALSE,FALSE,gWtbwiGzPtnQkmvRnl6L0EOUvwXHeJR8hOQ,"Los Angeles, California",gWrQbNgqaxXqX6DuSJc870XryfGqV,Corporate Card IBCP (Offsets),475.62,FALSE,233504E6CA914D64AE33,steveb@anybizbu.com,LODGA,Lodging,N,475.62,USD,02/24/15,Marriott Hotels,1,475.62
ApprovedAmount,N,abc,DINNR,gWnhNrzltdBaiDNKjzehpDByvZwhFVywQXg,FALSE,FALSE,FALSE,FALSE,gWk7Lzqt0aJcrg5$spRy0IPpn6M4YWHio8kA,Dinner,FALSE,FALSE,FALSE,FALSE,gWtbwiGzOwwEgfHJNvHFMYPbxw64lfKc$sNg,"Chicago, Illinois",gWrQbNgqaxXqX6DuSJc870XryfGqV,Corporate Card IBCP (Offsets),45.76,FALSE,BA53F9EA933D45328408,jasonr@anybizbu.com,MEALA,Meal - Count in Daily Meal Allowance,N,45.76,USD,05/12/15,Cafe Monte,1,45.76
ApprovedAmount,N,Gift Card Purchase,MISCL,gWnhNrzltdBTeouH1uQBxvWSYa9IoPaw9$pA,FALSE,TRUE,TRUE,FALSE,gWk7Lzqt2aZhdgho5Xen5Evr3wVsXR$pGSFA,Miscellaneous,FALSE,FALSE,FALSE,FALSE,,,gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,5,FALSE,D1E336D485E947D5A531,chrish@anybiz.com,OTHER,Other,N,5,USD,10/03/12,Tango Card,1,5
HasComments,N,AT&T phone,MILEG,gWnhNrzltcRDRtejBO$pEDEWf2CQUjLaA6cA,FALSE,FALSE,FALSE,FALSE,gWk7Lzqt1besu$sHVEzvWpo92r$pHo$sS3oSKQ,Personal Car Mileage,FALSE,FALSE,FALSE,FALSE,,,gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,21.65,FALSE,F29674584C4F494D8DDD,tomk@anybizbu.com,PRCRM,Personal Car - Mileage Reimbursement,N,21.65,USD,09/12/13,n/a,1,21.65
HasComments,N,Wireless Expenses for (856) 264-7025,1097,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt2GZou$suH34h1PDUHhma8CRi1gtQ,Wireless Expenses,FALSE,TRUE,FALSE,FALSE,,,gWtVuVmiVipgznkhk1I7uxa7lCwJg,Personal Credit Card,136.64,FALSE,4877DB6C6EE34C099B1A,sara@mn.com,TELEC,Telecom,N,136.64,USD,03/06/13,Sprint Nextel,1,136.64
HasComments,N,Under 200.00,CELPH,gWnhNrzltdRbWx7NQ6hbo8gBkfXEfOECQcg,FALSE,TRUE,FALSE,FALSE,gWk7Lzqt1bp0m8xseHehSZ4zhsNW6ylWCZQ,Cellular Phone,FALSE,FALSE,FALSE,FALSE,gWtbwiGzPsn0vs3IU44WxQasgYoDL4ka2cw,"Grapevine, Texas",gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,199.99,FALSE,B9339EC6870A4030872F,briano@anybizbu.com,TELEC,Telecom,N,199.99,USD,09/11/13,n/a,1,199.99
ApprovedAmount,N,Wireless Expenses for (856) 264-7025,1097,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt2GuwvY53q6wWlYJ3JONDrJSaDtQ,Wireless Expenses,FALSE,TRUE,FALSE,FALSE,,,gWtVuVmiVipgznkhk1I7uxa7lCwJg,Personal Credit Card,136.64,FALSE,3BF02A09F23149D9BE77,sara@mn.com,TELEC,Telecom,N,136.64,USD,03/06/13,Sprint Nextel,1,136.64
ApprovedAmount,N,Business Meeting,1002,gWnhNrzltdBHX$sWumug7zkwjwlj6SfWLSxw,FALSE,FALSE,FALSE,FALSE,gWk7Lzqt3bOoq1f$pJEMVk$srM1i0wuvX$pjzQ,Airfare_MEX,FALSE,TRUE,FALSE,FALSE,gWtbwiGzMxAMv0exAoIUfp7rUL2bOM4mpxg,"Mexico City, MEXICO",gWrQbNgqaxXqX6DuSJc870XryfGqV,Corporate Card IBCP (Offsets),3218.49,FALSE,A4B90000DE824E8BB27D,j@anybizbu.com,AIRFR,Airfare,N,236.02,USD,12/02/11,Aero Mexico,13.63651385,236.02
HasComments,N,Business Meeting,CARRT,gWnhNrzltdWKlyOwp$pW6GQKvIjfmz1HjRzg,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt0bJovEwQ3umi4It6LzneqI$sPb7Q,Car Rental,FALSE,TRUE,FALSE,FALSE,gWtbwiGzAsQYm7c7gZGUrlVf$pkcVyWtV0kA,"Seattle, Washington",gWrQbNgqaxXqX6DuSJc870XryfGqV,Corporate Card IBCP (Offsets),386.68,FALSE,5324E073A1E4435FA937,sriadmin@anybizbu.com,CARRT,Car Rental,N,386.68,USD,07/16/15,Hertz,1,386.68
HasComments,N,Gift Card Purchase,MISCL,gWnhNrzltdBTeouH1uQBxvWSYa9IoPaw9$pA,FALSE,TRUE,TRUE,FALSE,gWk7Lzqt2a5laNmRwghxwy08hLZFJ$pShZeg,Miscellaneous,FALSE,TRUE,FALSE,FALSE,,,gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,25,FALSE,C3E691401ADC42E5BE3E,chrish@anybiz.com,OTHER,Other,N,25,USD,05/04/12,Tango Card,1,25
